,from_dest,co2_emissions,price,from_airport_code,dest_airport_code,distance
0,"ALG,AEP",1410000.0,2553.0,ALG,AEP,10167.863665793731
1,"ALG,SYD",1968000.0,3158.0,ALG,SYD,17105.811549738184
2,"ALG,MEL",1996000.0,3105.0,ALG,MEL,16637.813289253078
3,"ALG,VIE",323000.0,628.0,ALG,VIE,1672.8017725137458
4,"ALG,GRU",1256000.0,1700.0,ALG,GRU,8474.359392455724
5,"ALG,BRU",327000.0,606.0,ALG,BRU,1583.3402285344343
6,"ALG,YYZ",935000.0,1635.0,ALG,YYZ,6782.565898971675
7,"ALG,CNF",1085000.0,1356.5,ALG,CNF,7981.8371974791835
8,"ALG,SCL",1141000.0,933.0,ALG,SCL,10930.274425185899
9,"ALG,CAN",1159000.0,15808.0,ALG,CAN,10106.295444519732
10,"ALG,SZX",1315000.0,3757.0,ALG,SZX,10200.89503881149
11,"ALG,PVG",1571000.0,4725.0,ALG,PVG,10131.15666512421
12,"ALG,BOG",1190000.0,1592.0,ALG,BOG,8569.393762536889
13,"ALG,CPH",349000.0,739.0,ALG,CPH,2221.8929406603843
14,"ALG,DUB",311000.0,785.0,ALG,DUB,1999.8510629490172
15,"ALG,ADD",690500.0,3675.5,ALG,ADD,4724.777200093402
16,"ALG,CAI",514000.0,1149.0,ALG,CAI,2705.7295288195314
17,"ALG,CDG",332000.0,683.0,ALG,CDG,1371.1796814652769
18,"ALG,MUC",317000.0,583.0,ALG,MUC,1472.6553879162745
19,"ALG,FRA",320500.0,1009.5,ALG,FRA,1544.4412750834542
20,"ALG,DEL",868500.0,1415.0,ALG,DEL,6809.474081162803
21,"ALG,ATH",379000.0,661.0,ALG,ATH,1834.6406014331674
22,"ALG,BOM",900000.0,1209.0,ALG,BOM,6970.195317696501
23,"ALG,CGK",1251000.0,1457.0,ALG,CGK,11611.301795701564
24,"ALG,BLR",868000.0,856.0,ALG,BLR,7762.289172407482
25,"ALG,MXP",295000.0,562.0,ALG,MXP,1095.259185397265
26,"ALG,NRT",1431500.0,2481.5,ALG,NRT,10825.054862349121
27,"ALG,HND",1221000.0,2850.0,ALG,HND,10814.47639205017
28,"ALG,NBO",846500.0,1106.5,ALG,NBO,5473.577758767673
29,"ALG,MEX",1184000.0,1532.0,ALG,MEX,9766.047709012035
30,"ALG,KUL",1212000.0,2372.0,ALG,KUL,10579.740955790556
31,"ALG,CMN",447000.0,881.0,ALG,CMN,1050.2083369560441
32,"ALG,OSL",363000.0,751.0,ALG,OSL,2664.4116479178765
